review/overall,user/gender,beer/style,user/ageInSeconds,beer/beerId,beer/ABV,beer/name
4.0,Male,American Double / Imperial IPA,3581417047.0,64883,7.7,Cauldron DIPA
4.0,Male,American Pale Lager,1782054247.0,12386,5.6,Caldera OBF 15
4.0,Male,Rauchbier,983372647.0,58046,7.4,Rauch Ãr Bock
4.5,Male,Rauchbier,1263823447.0,58046,7.4,Rauch Ãr Bock
4.5,Male,Rauchbier,893171047.0,58046,7.4,Rauch Ãr Bock
4.5,Male,Rauchbier,958748647.0,58046,7.4,Rauch Ãr Bock
4.0,Male,Rauchbier,1137506648.0,58046,7.4,Rauch Ãr Bock
4.0,Male,Rauchbier,1018364647.0,58046,7.4,Rauch Ãr Bock
2.5,Male,American Pale Ale (APA),1036073047.0,25414,5.5,Caldera Pale Ale
4.5,Female,American Pale Ale (APA),1239462247.0,25414,5.5,Caldera Pale Ale
4.5,Male,American Pale Ale (APA),1204383847.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),1018019047.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),1002549848.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),907855447.0,25414,5.5,Caldera Pale Ale
4.5,Male,American Pale Ale (APA),958748647.0,25414,5.5,Caldera Pale Ale
5.0,Male,American Pale Ale (APA),966780247.0,25414,5.5,Caldera Pale Ale
4.5,Male,American Pale Ale (APA),1376319847.0,25414,5.5,Caldera Pale Ale
3.5,Male,American Pale Ale (APA),877615447.0,25414,5.5,Caldera Pale Ale
3.0,Male,American Pale Ale (APA),1066226647.0,25414,5.5,Caldera Pale Ale
3.5,Male,American Pale Ale (APA),1331651047.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),1123340647.0,25414,5.5,Caldera Pale Ale
3.5,Male,American Pale Ale (APA),1137506648.0,25414,5.5,Caldera Pale Ale
3.0,Male,American Pale Ale (APA),1143039848.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),956329447.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),1126879447.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),838566247.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),1293372247.0,25414,5.5,Caldera Pale Ale
3.5,Male,American Pale Ale (APA),842882648.0,25414,5.5,Caldera Pale Ale
3.5,Male,American Pale Ale (APA),1073916247.0,25414,5.5,Caldera Pale Ale
4.5,Male,American Pale Ale (APA),1215529447.0,25414,5.5,Caldera Pale Ale
3.5,Male,American Pale Ale (APA),1019228647.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),1678716248.0,25414,5.5,Caldera Pale Ale
4.5,Male,American Pale Ale (APA),1187363047.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),1086707047.0,25414,5.5,Caldera Pale Ale
4.5,Male,American Pale Ale (APA),1571321047.0,25414,5.5,Caldera Pale Ale
