review/appearance,beer/style,review/palate,review/taste,beer/name,review/timeUnix,beer/ABV,beer/beerId,beer/brewerId,review/timeStruct,review/overall,review/text,user/profileName,review/aroma,user/gender,user/birthdayRaw,user/birthdayUnix,user/ageInSeconds
3.5,Low Alcohol Beer,3.0,3.5,Amstel Malt,1309642281,0.1,59239,163,"{'isdst': 0, 'mday': 2, 'hour': 21, 'min': 31, 'sec': 21, 'mon': 7, 'year': 2011, 'yday': 183, 'wday': 5}",3.0,I had this 'beer' at a beachbar in IJmuiden today. Had to drive back home so i needed something without alcohol. This was a good drink for that purpose.		Poured in the original Amstel glass this beer looks quit ok to be honest. Smell in not spectacular but for a malt beer ok. Watery as expected.		Some sweetness in this beer. Drinkable when you have to drive....,Brabander,3.0,,,,
3.5,Low Alcohol Beer,3.0,2.5,Amstel Malt,1276609571,0.1,59239,163,"{'isdst': 0, 'mday': 15, 'hour': 13, 'min': 46, 'sec': 11, 'mon': 6, 'year': 2010, 'yday': 166, 'wday': 1}",3.5,"30cl bottle poured into a pint glass.		Accidentally ordered this not knowing it was non-alcoholic, oh well! Pours a very crisp light yellow with no head at all, very bland looking Nose keeps this up, super tame and light, not much here to speak of.		Taste isn't great but it's super easy drinking, nice and malty and toasty - think vienna lager or Marzen. A bit buttery on the finish but that's it. Honestly it's better than some american macro light lagers.",kingcrowing,2.0,Male,,,
2.5,Low Alcohol Beer,2.0,2.0,Harboe Den Glada Danskens LÃ¤ttÃ¶l,1147377686,2.2,22808,1463,"{'isdst': 0, 'mday': 11, 'hour': 20, 'min': 1, 'sec': 26, 'mon': 5, 'year': 2006, 'yday': 131, 'wday': 3}",2.0,"33 cl can from my local grocery store (Hemkp).		Clear light yellow straw color. 	Initally big white bubbly headm fairly lasting. 	A bit malty scent, smells watery, if thats possible...	Distinct watery mouthfel. hard to find much else. 	A bit malty flavour, some fresh fruitiness in the aftertaste. 	Low to no bitterness.",gnoff,2.5,,,,
3.5,Low Alcohol Beer,2.5,2.0,Harboe Den Glada Danskens LÃ¤ttÃ¶l,1112729265,2.2,22808,1463,"{'isdst': 0, 'mday': 5, 'hour': 19, 'min': 27, 'sec': 45, 'mon': 4, 'year': 2005, 'yday': 95, 'wday': 1}",2.0,The colour is yellow with a tint of gold. The large white compact foam dissolves into a two finger thick foam. 		The smell is kind of weak with some dry malt and a chemical bitterness.		The carbonation is fresh with medium sized bubbles. It is rather short.		The taste is weak; there is almost no taste of malt or any body at all. The hops are dry and artificial. The aftertaste is watery with some sweet and bitter notes.		This is a very cheap and boring low alcohol beer.,bark,2.0,Male,"Jul 7, 1973",110876400.0,1307459047.0
4.0,Low Alcohol Beer,3.5,2.0,Bernard S &#269;istou Hlavou,1255992444,0.5,53523,2055,"{'isdst': 0, 'mday': 19, 'hour': 22, 'min': 47, 'sec': 24, 'mon': 10, 'year': 2009, 'yday': 292, 'wday': 0}",2.0,"500ml bottle. Pours clear gold with a nice white head that lasts and leaves good lacing. Smells fairly sweet; almost exactly like straw. A bit earthy. Tastes of pils malt, with a strong cereal character. Like, plain Cheerios. Not much else going on there. Slight hop bitterness at the end. A bit unpleasant, actually, in the middle. Light body and decent carbonation. This one was interesting. Not totally offensive, and surely the nicest ""free"" beer I've had, but not anywhere near good. Reminds me of what you would get if you had a bowl of cereal and used Perrier instead of milk, ate the cereal, and then drank what was left over.",philipquarles,3.0,Male,"Aug 4, 1984",460450800.0,957884647.0
3.0,Low Alcohol Beer,3.0,3.5,JuleÃ¸l,1140557445,2.4,22968,9816,"{'isdst': 0, 'mday': 21, 'hour': 21, 'min': 30, 'sec': 45, 'mon': 2, 'year': 2006, 'yday': 52, 'wday': 1}",4.5,"Was quite surprised by this. Julel is a very low alcohol childrens beer. The aroma was of cherry and that lambic tang and the flavor, to my surprise, was much the same. It very much is like a cherry Lambic Light. Surprisingly drinkable due mostly to it's overall subdued flavor profile. Had a solid feeling mouthfeel and very little aftertaste.",jreitman,3.5,,,,
3.5,Low Alcohol Beer,4.0,3.5,MÃ¸rkt HvidtÃ¸l,1188756405,2.4,22966,9816,"{'isdst': 0, 'mday': 2, 'hour': 18, 'min': 6, 'sec': 45, 'mon': 9, 'year': 2007, 'yday': 245, 'wday': 6}",3.5,"Another instance of this unique Danish beer style: A dark low alcohol wheat beer spiced with sugar and liquorice. 		The colour is black-brown; the liquid clear. The thick brown head is compact; it sinks to a lid leaving almost none lacing. 		The smell is very roasted with some sweet notes of liquorice, beef stock and a hint of nutmeg.		The taste is sweet with some roasted malt, liquorice and gravy. There are some very fragile sour notes too. The aftertaste is sweet in an artificial way with some hints of mild oriental spices and candy. 		The carbonation is mild with lots and lots of minimal bubbles that create some foam in the mouth. The liquid is rather thick and a bit sticky.		A good example of this style, I think.",bark,4.0,Male,"Jul 7, 1973",110876400.0,1307459047.0
4.0,Low Alcohol Beer,3.0,3.0,Buckler,1325562862,,5636,81,"{'isdst': 0, 'mday': 3, 'hour': 3, 'min': 54, 'sec': 22, 'mon': 1, 'year': 2012, 'yday': 3, 'wday': 1}",3.0,"At the time of this review, this beer is #9 on the ""Top Beers - Low Alcohol Beer"" list on beeradvocate.com. $0.79 for a tick? Why not? 12 ounce bottle poured into a globe glass. How bad could it be?		Beer is clear, yellow, lightly carbonated, big white head with low retention, some lacing, looks fine.		Aroma is grainy, sweet, kind of like malt liquor.		Skunky, sweet, thin, grainy aftertaste, it reminds me a lot of a couple of adjunct lagers out there. Not worth a second look but it is not as bad as most out there. Fortunately my body can currently tolerate alcohol so Im going to go get a beverage that has some. NEXT!",drabmuh,3.5,Male,,,
3.0,Low Alcohol Beer,3.0,3.0,Buckler,1317884918,,5636,81,"{'isdst': 0, 'mday': 6, 'hour': 7, 'min': 8, 'sec': 38, 'mon': 10, 'year': 2011, 'yday': 279, 'wday': 3}",4.5,"My go to when I went dry for a few months last year. 		A: Big pour. Fairly lively head. Standard macro color. As one user put...darker than a BMC. Still, it's that straw yellow we all know and expect. Head retention is meh. Lacing is average. 		S: Metallic, grassy, husked grain, mild bit of hop presence. 		T: Starts off bitter and clean, ends with husk grain notes and a cider-like finish.		M: Pretty seltzer like. Body is minimal. 		O: I'm scoring this beer fairly well. While pretty mediocre as far as beer goes, I think this beer is stellar when compared to other NA's on the market. This one is about as close as I've come. So I'll meet in the middle on scoring. Not great overall, but great for the category.",McStagger,3.0,,,,
3.5,Low Alcohol Beer,2.5,2.5,Buckler,1317580797,,5636,81,"{'isdst': 0, 'mday': 2, 'hour': 18, 'min': 39, 'sec': 57, 'mon': 10, 'year': 2011, 'yday': 275, 'wday': 6}",3.0,"My brother's pregnant wife picked up some of these while we were at the outer banks so she could still have a beer. She gave me the leftovers (maybe that's a sign?)		Bottle poured into a pint.		A: Looks pretty beer like. A mass produced yellow color that's a little darker than your standard Bud and what not, but pretty typical color. Better lacing and head than I have seen on a lot of American macros and Euro lagers for that matter. Doesn't look to bad.		S: Skunky, grassy, hayfield, sweet, and mildly bitter.		T: This beer has a very unusual taste. A strange sweetness is up front followed by an empty and bland nothingness. It is very grassy in flavor.		M: Average.		O: This is the first time I have ever had N/A beer, or less than 0.5% beer as it actually is. If I once was a serious alcoholic and could no longer have real beer due to health issues or whatever, I would gratefully drink this, but I would try the other N/A beers out there, they might be better. Either way it is pretty cool they at least make this so someone can enjoy a ""beer"" if they can't have alcohol.",jifigz,3.0,Male,"Jun 14, 1986",519116400.0,899219047.0
